Country,year,CAF,Bottom_Middle_Top_Third
Czechia,2021,30,Bottom
Croatia,2021,30,Bottom
Benin,2021,29,Bottom
Ecuador,2021,29,Bottom
Tunisia,2021,29,Bottom
Switzerland,2021,28,Bottom
Israel,2021,28,Bottom
Slovenia,2021,28,Bottom
Kazakhstan,2021,28,Bottom
Romania,2021,28,Bottom
Lithuania,2021,28,Bottom
Cambodia,2021,28,Bottom
China,2021,28,Bottom
Spain,2021,27,Bottom
Hong Kong,2021,26,Bottom
Jordan,2021,26,Bottom
Gabon,2021,26,Bottom
Greece,2021,26,Bottom
France,2021,25,Bottom
Pakistan,2021,25,Bottom
Latvia,2021,25,Bottom
Lebanon,2021,24,Bottom
Morocco,2021,23,Bottom
"Korea, Republic of",2021,22,Bottom
Italy,2021,22,Bottom
Belgium,2021,21,Bottom
Portugal,2021,20,Bottom
Japan,2021,12,Bottom
United States of America,2021,,N/A
Singapore,2021,,N/A
Haiti,2021,,N/A
Liberia,2021,,N/A
Sierra Leone,2021,,N/A
Trinidad and Tobago,2021,,N/A
Libya,2021,,N/A
Gambia,2021,,N/A
Kuwait,2021,,N/A
Luxembourg,2021,,N/A
Turkmenistan,2021,,N/A
Honduras,2021,,N/A
South Sudan,2021,,N/A
Malawi,2021,,N/A
"Congo, Democratic Republic of the",2021,,N/A
"Taiwan, Province of China",2021,,N/A
Guatemala,2021,,N/A
Central African Republic,2021,,N/A
Guinea,2021,,N/A
Niger,2021,,N/A
Panama,2021,,N/A
Mozambique,2021,,N/A
Burkina Faso,2021,,N/A
"Tanzania, United Republic of",2021,,N/A
Bosnia and Herzegovina,2021,,N/A
Lesotho,2021,,N/A
Botswana,2021,,N/A
"Moldova, Republic of",2021,,N/A
Madagascar,2021,,N/A
Chad,2021,,N/A
Rwanda,2021,,N/A
Côte d'Ivoire,2021,,N/A
Togo,2021,,N/A
Belarus,2021,,N/A
Armenia,2021,,N/A
North Macedonia,2021,,N/A
Mauritania,2021,,N/A
Lao People's Democratic Republic,2021,,N/A
Afghanistan,2021,,N/A
Azerbaijan,2021,,N/A
"Palestine, State of",2021,,N/A
Yemen,2021,,N/A
Indonesia,2022,68,Top
Kenya,2022,61,Top
United States of America,2022,59,Top
Australia,2022,55,Top
New Zealand,2022,54,Top
Myanmar,2022,52,Top
Canada,2022,51,Top
Sierra Leone,2022,51,Top
Zambia,2022,50,Top
Ireland,2022,49,Top
Ukraine,2022,49,Top
Nigeria,2022,48,Top
Thailand,2022,48,Top
Czechia,2022,48,Top
United Kingdom of Great Britain and Northern Ireland,2022,47,Top
United Arab Emirates,2022,47,Top
Guinea,2022,47,Top
Philippines,2022,47,Top
Argentina,2022,47,Top
Poland,2022,47,Top
Brazil,2022,47,Top
Netherlands,2022,46,Top
Iceland,2022,46,Top
Denmark,2022,46,Top
Mongolia,2022,46,Top
Honduras,2022,46,Top
Uganda,2022,46,Top
Jamaica,2022,46,Top
Russian Federation,2022,46,Top
Serbia,2022,46,Top
Singapore,2022,45,Top
Norway,2022,45,Top
Malta,2022,45,Top
Austria,2022,45,Top
Venezuela (Bolivarian Republic of),2022,45,Top
Sri Lanka,2022,44,Top
Dominican Republic,2022,44,Top
Kyrgyzstan,2022,44,Middle
Paraguay,2022,44,Middle
Costa Rica,2022,44,Middle
Bosnia and Herzegovina,2022,44,Middle
Mexico,2022,44,Middle
Iran (Islamic Republic of),2022,43,Middle
Ghana,2022,43,Middle
Kosovo,2022,43,Middle
Bolivia (Plurinational State of),2022,43,Middle
Sweden,2022,42,Middle
Colombia,2022,42,Middle
Ecuador,2022,42,Middle
China,2022,42,Middle
Germany,2022,41,Middle
Slovakia,2022,41,Middle
Bulgaria,2022,41,Middle
Cyprus,2022,40,Middle
Nepal,2022,40,Middle
Nicaragua,2022,40,Middle
Uruguay,2022,40,Middle
Senegal,2022,40,Middle
Estonia,2022,40,Middle
Hungary,2022,40,Middle
India,2022,40,Middle
Türkiye,2022,40,Middle
Tajikistan,2022,39,Middle
Slovenia,2022,39,Middle
Malawi,2022,39,Middle
Burkina Faso,2022,39,Middle
Peru,2022,39,Middle
Uzbekistan,2022,38,Middle
Chile,2022,38,Middle
Mali,2022,38,Middle
Mauritius,2022,37,Middle
Switzerland,2022,37,Middle
Hong Kong,2022,37,Middle
Iraq,2022,37,Middle
Israel,2022,37,Bottom
Finland,2022,37,Bottom
Cameroon,2022,37,Bottom
Croatia,2022,37,Bottom
Lithuania,2022,37,Bottom
Saudi Arabia,2022,36,Bottom
Panama,2022,36,Bottom
El Salvador,2022,36,Bottom
South Africa,2022,35,Bottom
Namibia,2022,35,Bottom
Mozambique,2022,34,Bottom
Kazakhstan,2022,34,Bottom
Albania,2022,34,Bottom
Gabon,2022,34,Bottom
Togo,2022,34,Bottom
Spain,2022,32,Bottom
France,2022,32,Bottom
Jordan,2022,32,Bottom
Benin,2022,32,Bottom
Greece,2022,32,Bottom
Zimbabwe,2022,31,Bottom
Morocco,2022,31,Bottom
Georgia,2022,31,Bottom
Algeria,2022,30,Bottom
Romania,2022,30,Bottom
Italy,2022,29,Bottom
Pakistan,2022,29,Bottom
Armenia,2022,29,Bottom
Latvia,2022,29,Bottom
Tunisia,2022,28,Bottom
Portugal,2022,26,Bottom
Lebanon,2022,24,Bottom
Egypt,2022,23,Bottom
Afghanistan,2022,21,Bottom
Japan,2022,20,Bottom
Cambodia,2022,19,Bottom
Bahrain,2022,,N/A
Haiti,2022,,N/A
Liberia,2022,,N/A
Trinidad and Tobago,2022,,N/A
Libya,2022,,N/A
Gambia,2022,,N/A
Kuwait,2022,,N/A
Belgium,2022,,N/A
Luxembourg,2022,,N/A
Turkmenistan,2022,,N/A
South Sudan,2022,,N/A
"Congo, Democratic Republic of the",2022,,N/A
"Korea, Republic of",2022,,N/A
"Taiwan, Province of China",2022,,N/A
Guatemala,2022,,N/A
Central African Republic,2022,,N/A
Niger,2022,,N/A
Bangladesh,2022,,N/A
"Tanzania, United Republic of",2022,,N/A
Lesotho,2022,,N/A
Botswana,2022,,N/A
Ethiopia,2022,,N/A
"Moldova, Republic of",2022,,N/A
Madagascar,2022,,N/A
Chad,2022,,N/A
Rwanda,2022,,N/A
Côte d'Ivoire,2022,,N/A
Congo,2022,,N/A
Montenegro,2022,,N/A
Belarus,2022,,N/A
North Macedonia,2022,,N/A
Mauritania,2022,,N/A
Lao People's Democratic Republic,2022,,N/A
Azerbaijan,2022,,N/A
"Palestine, State of",2022,,N/A
Yemen,2022,,N/A
