Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Continent
Estonia,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.41,0.46,0.49,0.5,0.53,0.55,0.55,0.56,0.55,0.54,0.54,0.55,0.54,0.55,0.57,0.54,0.56,0.53,0.52,0.5,0.48,0.49,0.5,0.51,0.52,0.52,0.49,0.49,0.48,0.48,0.53,0.52,0.52,Europe
Ethiopia,0.55,0.55,0.56,0.56,0.57,0.58,0.59,0.6,0.61,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.63,0.59,0.56,0.52,0.52,0.52,0.52,0.53,0.53,0.53,0.53,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,Africa
Finland,0.39,0.39,0.39,0.39,0.38,0.39,0.38,0.39,0.39,0.39,0.37,0.36,0.36,0.36,0.39,0.4,0.41,0.42,0.42,0.43,0.44,0.43,0.43,0.42,0.43,0.42,0.43,0.43,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.45,0.45,Europe
France,0.43,0.42,0.42,0.43,0.43,0.43,0.44,0.45,0.45,0.46,0.45,0.45,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.45,0.45,0.45,0.44,0.45,0.45,0.42,0.44,0.44,0.44,0.43,0.44,0.43,0.43,0.42,0.42,0.43,0.41,0.42,Europe
Gabon,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.56,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.56,Africa
Gambia,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.64,0.64,0.56,0.63,0.62,0.61,0.59,0.58,0.56,0.56,0.56,0.56,0.56,0.56,0.56,Africa
Georgia,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.59,0.61,0.59,0.59,0.59,0.57,0.56,0.56,0.57,0.57,0.59,0.58,0.59,0.57,0.61,0.58,0.61,0.58,0.58,0.59,0.6,0.59,0.59,0.59,0.59,Asia
Germany,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.43,0.44,0.44,0.43,0.42,0.41,0.41,0.41,0.42,0.43,0.44,0.44,0.44,0.44,0.44,0.43,0.44,0.47,0.47,0.48,0.48,0.49,0.48,0.48,0.48,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,Europe
Ghana,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.56,0.57,0.57,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.59,0.59,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,Africa
Greece,0.49,0.51,0.5,0.48,0.48,0.49,0.48,0.47,0.48,0.47,0.48,0.47,0.46,0.48,0.5,0.5,0.5,0.52,0.53,0.53,0.54,0.54,0.52,0.5,0.5,0.51,0.49,0.48,0.46,0.45,0.46,0.45,0.46,0.46,0.49,0.48,0.47,0.46,0.45,0.45,0.44,0.44,Europe
Guatemala,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,North America
Guinea,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.64,0.65,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.61,0.6,0.59,0.58,0.57,0.49,0.56,0.55,0.54,0.53,0.52,0.52,0.51,0.5,0.49,0.49,0.49,0.49,Africa
Guinea-Bissau,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.67,0.63,0.62,0.61,0.61,0.6,0.59,0.58,0.57,0.57,0.56,0.57,0.59,0.61,0.62,0.64,0.65,0.55,0.69,0.67,0.65,0.64,0.62,0.6,0.59,0.57,0.55,0.55,0.55,0.55,Africa
Guyana,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,South America
Haiti,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,North America
Honduras,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,North America
Hong Kong,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.53,0.54,0.54,0.55,0.55,0.55,0.54,0.54,0.53,0.53,0.54,0.54,0.55,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.61,0.61,0.59,0.61,0.61,0.61,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,Asia
Hungary,0.25,0.25,0.24,0.23,0.21,0.21,0.22,0.23,0.24,0.27,0.3,0.33,0.35,0.35,0.35,0.34,0.34,0.35,0.36,0.37,0.37,0.39,0.41,0.41,0.4,0.41,0.43,0.44,0.43,0.43,0.43,0.42,0.41,0.43,0.42,0.43,0.42,0.42,0.43,0.43,0.43,0.43,Europe
