Country,Year,Gini,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ireland,1980,0.41,,0.41,0.41,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.42,0.43,0.43,0.43,0.45,0.44,0.42,0.43,0.45,0.45,0.46,0.46,0.45,0.46,0.47,0.47,0.48,0.48,0.45,0.47,0.44,0.44,0.44,0.45,0.46,0.48,0.48,0.47,0.47,0.48,0.47,0.47
Israel,1980,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.59,0.63,0.62,0.62,0.61,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59
Italy,1980,0.41,,0.41,0.4,0.41,0.41,0.41,0.42,0.43,0.44,0.45,0.45,0.46,0.46,0.46,0.47,0.47,0.48,0.49,0.49,0.5,0.5,0.51,0.51,0.5,0.5,0.5,0.49,0.5,0.5,0.48,0.52,0.49,0.5,0.5,0.51,0.5,0.5,0.51,0.51,0.52,0.51,0.51,0.51
Jamaica,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
Japan,1980,0.48,,0.48,0.47,0.47,0.47,0.47,0.48,0.49,0.5,0.51,0.52,0.52,0.51,0.47,0.48,0.48,0.49,0.5,0.5,0.5,0.51,0.52,0.53,0.54,0.54,0.55,0.55,0.55,0.56,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
Jordan,1980,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.61,0.62,0.62,0.63,0.62,0.61,0.59,0.58,0.56,0.57,0.58,0.58,0.59,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.59,0.61,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
Kazakhstan,1980,0.47,,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.51,0.54,0.54,0.55,0.56,0.56,0.56,0.57,0.56,0.51,0.54,0.54,0.52,0.53,0.53,0.54,0.51,0.52,0.52,0.5,0.48,0.53,0.53,0.53,0.53,0.53,0.53
Kenya,1980,0.74,,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.68,0.62,0.63,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.6,0.63,0.62,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Korea,1980,0.44,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.46,0.46,0.46,0.47,0.44,0.45,0.44,0.46,0.46,0.46,0.46,0.46,0.46,0.44
Kosovo,1980,0.48,,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.49,0.49,0.48,0.48,0.5,0.48,0.5,0.48,0.48,0.47,0.48,0.47,0.47,0.48,0.48,0.48,0.48,0.48
Kuwait,1980,0.64,,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
Kyrgyzstan,1980,0.54,,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.51,0.49,0.5,0.5,0.49,0.55,0.54,0.57,0.53,0.52,0.51,0.51,0.49,0.49,0.49,0.47,0.5,0.49,0.5,0.51,0.54,0.54,0.54
Lao PDR,1980,0.57,,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.58,0.58,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.6,0.58,0.58,0.58,0.58,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6
Latvia,1980,0.34,,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.36,0.37,0.4,0.43,0.45,0.46,0.48,0.49,0.5,0.5,0.5,0.49,0.51,0.51,0.51,0.53,0.5,0.53,0.52,0.49,0.48,0.49,0.5,0.5,0.49,0.49,0.48,0.5,0.49,0.49,0.47,0.47
Lebanon,1980,0.62,,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.65,0.65,0.65,0.65,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Lesotho,1980,0.72,,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.73,0.73,0.74,0.74,0.75,0.75,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.62,0.64,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62
Liberia,1980,0.56,,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.54,0.55,0.55,0.55,0.55,0.55,0.55
Libya,1980,0.57,,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.54,0.54,0.55,0.55,0.54,0.54,0.54,0.54,0.54
Lithuania,1980,0.37,,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.48,0.47,0.45,0.45,0.44,0.46,0.47,0.46,0.46,0.49,0.49,0.47,0.49,0.5,0.5,0.47,0.47,0.49,0.5,0.53,0.5,0.5,0.51,0.5,0.63,0.63,0.63
Luxembourg,1980,0.45,,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.48,0.5,0.5,0.5,0.5,0.48,0.48,0.52,0.52,0.49,0.52,0.51,0.48,0.47,0.47,0.5,0.48,0.48,0.45,0.47,0.49,0.48,0.46,0.48,0.48
Macao,1980,0.43,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.45,0.46,0.48,0.48,0.48,0.47,0.47,0.47,0.48,0.5,0.51,0.53,0.54,0.55,0.56,0.56,0.56,0.56,0.56,0.57,0.56,0.55,0.56,0.55,0.56,0.56,0.56,0.56,0.56,0.43,0.43
Madagascar,1980,0.65,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.66,0.66,0.64,0.62,0.6,0.58,0.58,0.57,0.61,0.65,0.64,0.63,0.62,0.61,0.61,0.61,0.62,0.61,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Malawi,1980,0.61,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.62,0.62,0.63,0.64,0.61,0.65,0.65,0.66,0.66,0.66,0.67,0.67,0.64,0.61,0.59,0.59,0.59
Malaysia,1980,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.57,0.58,0.58,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.57,0.52,0.56,0.55,0.55,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Maldives,1980,0.67,,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.64,0.63,0.62,0.61,0.59,0.51,0.57,0.56,0.55,0.54,0.53,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Mali,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.66,0.64,0.63,0.62,0.6,0.59,0.59,0.58,0.58,0.58,0.58,0.56,0.55,0.56,0.53,0.54,0.54,0.54,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.56
Malta,1980,0.42,,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.43,0.45,0.43,0.44,0.45,0.45,0.46,0.47,0.45,0.46,0.45,0.47,0.47,0.47
Mauritania,1980,0.6,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.62,0.64,0.65,0.67,0.69,0.7,0.63,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.59,0.6,0.6,0.59,0.57,0.56,0.54,0.52,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Mauritius,1980,0.56,,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.57,0.57,0.57,0.58,0.59,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.57,0.57,0.57
Mexico,1980,0.69,,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.71,0.72,0.72,0.72,0.74,0.75,0.75,0.74,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.75,0.75,0.75,0.75
Moldova,1980,0.36,,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.38,0.4,0.43,0.45,0.48,0.49,0.5,0.51,0.52,0.51,0.51,0.5,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.48,0.51,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.48,0.49,0.49,0.49
Mongolia,1980,0.56,,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.54,0.55,0.56,0.56,0.57,0.57,0.58,0.58,0.58,0.58,0.57,0.56,0.57,0.57,0.58,0.57,0.57,0.56,0.56,0.56,0.56,0.55,0.55,0.55
Montenegro,1980,0.4,,0.4,0.4,0.4,0.4,0.42,0.41,0.42,0.42,0.45,0.41,0.4,0.41,0.41,0.42,0.43,0.43,0.43,0.44,0.43,0.42,0.48,0.44,0.45,0.46,0.46,0.47,0.48,0.48,0.49,0.51,0.5,0.51,0.51,0.51,0.5,0.53,0.51,0.5,0.51,0.51,0.51,0.51
Morocco,1980,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Mozambique,1980,0.71,,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.69,0.68,0.68,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.72,0.68,0.69,0.7,0.71,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
Myanmar,1980,0.62,,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.54,0.62,0.62,0.62,0.62,0.62,0.62,0.58,0.55,0.54,0.54,0.54,0.54
Namibia,1980,0.78,,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.74,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
Nepal,1980,0.44,,0.44,0.44,0.44,0.44,0.44,0.45,0.47,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.53,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Netherlands,1980,0.37,,0.37,0.37,0.37,0.38,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.39,0.39,0.4,0.4,0.41,0.41,0.42,0.4,0.41,0.41,0.41,0.41,0.4,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.41
New Zealand,1980,0.47,,0.47,0.47,0.48,0.49,0.48,0.47,0.46,0.46,0.46,0.48,0.5,0.49,0.51,0.51,0.51,0.51,0.5,0.51,0.52,0.48,0.45,0.46,0.46,0.47,0.47,0.45,0.39,0.41,0.38,0.46,0.43,0.45,0.47,0.45,0.45,0.46,0.45,0.46,0.46,0.46,0.46,0.46
Nicaragua,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
Niger,1980,0.57,,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.59,0.61,0.61,0.62,0.62,0.62,0.63,0.63,0.63,0.64,0.64,0.64,0.65,0.62,0.59,0.58,0.59,0.55,0.53,0.54,0.54,0.55,0.56,0.57,0.58,0.59,0.59,0.59,0.59
Nigeria,1980,0.57,,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
North Korea,1980,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.54,0.54,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.58,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.5
North Macedonia,1980,0.38,,0.38,0.38,0.38,0.38,0.4,0.39,0.39,0.4,0.42,0.39,0.38,0.4,0.42,0.44,0.45,0.47,0.52,0.49,0.48,0.47,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.49,0.44,0.49,0.49,0.48,0.47,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43
Norway,1980,0.38,,0.38,0.37,0.37,0.36,0.36,0.36,0.33,0.33,0.32,0.32,0.33,0.32,0.33,0.35,0.37,0.37,0.38,0.4,0.37,0.38,0.41,0.39,0.39,0.4,0.41,0.42,0.42,0.42,0.42,0.41,0.41,0.42,0.42,0.42,0.41,0.4,0.4,0.4,0.41,0.4,0.39,0.39
Oman,1980,0.67,,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
Pakistan,1980,0.55,,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.54,0.56,0.55,0.55,0.54,0.55,0.56,0.56,0.57,0.56,0.55,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.54,0.53,0.53,0.53,0.53,0.53
Palestine,1980,0.62,,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.64,0.64,0.66,0.65,0.61,0.64,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61
Panama,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
Papua New Guinea,1980,0.63,,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
Paraguay,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
Peru,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.75,0.74,0.76,0.72,0.71,0.71,0.72,0.7,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.71,0.69,0.66,0.73,0.73
Philippines,1980,0.6,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.62,0.63,0.62,0.62,0.62,0.63,0.64,0.65,0.64,0.63,0.63,0.63,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.57,0.61,0.6,0.6,0.6,0.59,0.59,0.58,0.58,0.57,0.57,0.57,0.57
Poland,1980,0.32,,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.32,0.32,0.33,0.35,0.36,0.37,0.37,0.4,0.42,0.42,0.41,0.43,0.42,0.44,0.44,0.45,0.46,0.47,0.48,0.48,0.48,0.48,0.48,0.47,0.48,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.49,0.49
Portugal,1980,0.41,,0.41,0.4,0.43,0.43,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.47,0.48,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.51,0.5,0.5,0.51,0.51,0.51,0.51,0.5,0.48,0.49,0.5,0.48,0.49,0.49,0.49,0.49,0.49,0.48,0.47,0.46,0.47
Qatar,1980,0.66,,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
Romania,1980,0.35,,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.37,0.38,0.4,0.42,0.48,0.47,0.48,0.49,0.48,0.47,0.47,0.49,0.52,0.52,0.53,0.53,0.57,0.56,0.54,0.52,0.53,0.54,0.53,0.55,0.54,0.51,0.52,0.54,0.54,0.54,0.54
Russian Federation,1980,0.31,,0.31,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.34,0.33,0.34,0.44,0.46,0.54,0.56,0.63,0.59,0.56,0.58,0.6,0.61,0.59,0.6,0.59,0.58,0.6,0.6,0.61,0.55,0.55,0.56,0.55,0.56,0.54,0.54,0.54,0.54,0.55,0.55,0.58,0.58
Rwanda,1980,0.51,,0.51,0.51,0.51,0.51,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.69,0.7,0.7,0.71,0.7,0.69,0.69,0.64,0.67,0.67,0.66,0.66,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64
Sao Tome and Principe,1980,0.52,,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Saudi Arabia,1980,0.66,,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.67,0.67,0.65,0.66,0.66,0.66,0.65,0.66,0.66,0.65,0.65,0.65,0.65,0.65,0.65
Senegal,1980,0.71,,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.68,0.65,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.6,0.59,0.58,0.58,0.58,0.59,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.58
Serbia,1980,0.42,,0.42,0.42,0.42,0.42,0.44,0.43,0.43,0.44,0.44,0.43,0.43,0.44,0.44,0.44,0.45,0.45,0.45,0.46,0.46,0.45,0.51,0.48,0.49,0.5,0.51,0.52,0.54,0.55,0.54,0.5,0.53,0.53,0.55,0.56,0.57,0.56,0.57,0.52,0.5,0.51,0.52,0.51
Seychelles,1980,0.74,,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Sierra Leone,1980,0.45,,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.58,0.58,0.57,0.56,0.57,0.55,0.54,0.55,0.55,0.55,0.56,0.56,0.57,0.57,0.57,0.57,0.57
Singapore,1980,0.34,,0.45,0.45,0.46,0.45,0.45,0.47,0.46,0.48,0.47,0.47,0.47,0.46,0.45,0.45,0.44,0.44,0.46,0.46,0.48,0.51,0.52,0.55,0.55,0.53,0.52,0.51,0.52,0.51,0.55,0.55,0.52,0.54,0.53,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.43,0.43
Slovakia,1980,0.33,,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.36,0.33,0.35,0.35,0.36,0.36,0.37,0.38,0.38,0.39,0.4,0.4,0.4,0.42,0.42,0.42,0.41,0.41,0.39,0.42,0.41,0.4,0.42,0.4,0.41,0.39,0.38,0.39,0.38,0.38,0.38
Slovenia,1980,0.56,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.39,0.37,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41
Somalia,1980,0.59,,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
South Africa,1980,0.62,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.61,0.6,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.66,0.67,0.67,0.68,0.69,0.71,0.7,0.75,0.71,0.72,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
South Sudan,1980,0.46,,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
Spain,1980,0.53,,0.46,0.46,0.46,0.46,0.46,0.47,0.48,0.48,0.48,0.49,0.48,0.48,0.47,0.46,0.47,0.47,0.47,0.46,0.46,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.45,0.46,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.44
Sri Lanka,1980,0.54,,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.57,0.58,0.59,0.59,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.58,0.59,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
Sudan,1980,0.68,,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Suriname,1980,0.76,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
