Country,2017,2018,2020,2021,2022,CAF_2017,CAF_2018,CAF_2020,CAF_2021
South Sudan,,,,,791.0,39.0,,,
Spain,28185.32,30379.72,26959.68,30103.51,39121.0,36.0,32.0,27.0,32.0
Sri Lanka,4401.06,4360.58,3893.84,4013.69,13214.0,45.0,51.0,34.0,44.0
Saint Kitts and Nevis,22160.45,22547.92,18566.1,18082.61,,,,,
Saint Lucia,11270.47,11563.84,8458.16,9414.23,,,,,
Saint Martin (French part),,,,,,,,,
Saint Vincent and the Grenadines,8030.59,8399.69,8335.26,8666.39,,,,,
Sudan,3188.75,769.87,608.33,751.82,4098.0,,,,
Suriname,6112.85,6730.85,4796.53,4869.13,14513.0,,,,
Sweden,53791.51,54589.06,52837.9,61028.74,54146.0,41.0,40.0,34.0,42.0
Switzerland,82254.38,85217.37,85656.32,91991.6,72874.0,45.0,45.0,28.0,37.0
Syrian Arab Republic,862.32,1104.39,533.39,,,,,,
Tajikistan,844.37,850.67,852.33,897.05,3676.0,42.0,36.0,45.0,39.0
"Tanzania, United Republic of",976.21,1010.94,1042.1,1099.29,2821.0,28.0,,,
Thailand,6436.79,7124.56,6990.94,7066.19,18236.0,34.0,42.0,46.0,48.0
Timor-Leste,1283.53,1239.37,1660.31,2741.39,3382.0,,,,
Togo,814.42,883.87,897.19,973.21,2199.0,24.0,,,34.0
Tonga,4367.3,4649.58,4606.06,4426.0,6191.0,,,,
Trinidad and Tobago,16094.67,16164.16,13871.8,16032.5,25031.0,46.0,,,
Tunisia,3569.76,3577.12,3497.68,3807.14,10120.0,20.0,24.0,29.0,28.0
Türkiye,10464.1,9400.78,8561.07,9661.24,30253.0,20.0,,31.0,40.0
Turkmenistan,6354.53,6721.35,,,16520.0,40.0,43.0,,
Turks and Caicos Islands,25659.2,26831.97,20882.26,20908.58,,,,,
Tuvalu,4175.99,4401.13,4973.77,5632.0,4497.0,,,,
Uganda,766.18,793.13,846.77,883.89,2574.0,39.0,38.0,46.0,46.0
Ukraine,2638.33,3096.56,3751.74,4835.57,13110.0,29.0,24.0,43.0,49.0
United Arab Emirates,43063.97,46722.27,37629.17,44315.55,58753.0,51.0,45.0,44.0,47.0
