Country,2018,2019,2021,2022,CAF_2018,CAF_2019,CAF_2021,CAF_2022
Russian Federation,11287.36,11536.25,12194.78,27903.0,25.0,21.0,33.0,46.0
Rwanda,769.44,806.88,822.35,2337.0,26.0,21.0,,
Samoa,4188.99,4308.27,3857.32,5653.0,,,,
San Marino,48462.96,47287.4,,58427.0,,,,
Sao Tome and Principe,1950.63,1991.74,2360.54,,,,,
Saudi Arabia,23318.74,22430.24,23185.87,46811.0,37.0,34.0,35.0,36.0
Senegal,1484.24,1462.35,1636.89,3478.0,28.0,28.0,35.0,40.0
Serbia,7252.4,7417.2,9230.18,19146.0,21.0,19.0,35.0,46.0
Seychelles,16910.69,17253.51,14653.31,25414.0,,,,
Sierra Leone,519.65,506.61,480.04,1725.0,47.0,42.0,,51.0
Singapore,66859.34,65831.19,72794.0,97057.0,54.0,35.0,,45.0
Sint Maarten (Dutch part),28988.26,,,,,,,
Slovakia,19486.39,19383.48,21391.93,32709.0,28.0,25.0,32.0,41.0
Slovenia,26123.75,26016.08,29291.4,40067.0,39.0,38.0,28.0,39.0
Solomon Islands,2450.48,2398.77,2304.84,2455.0,,,,
Somalia,379.99,405.79,446.98,925.0,,,,
South Africa,7048.52,6688.79,7055.04,12032.0,41.0,36.0,41.0,35.0
South Sudan,,,,791.0,39.0,,,
Spain,30379.72,29581.52,30103.51,39121.0,36.0,32.0,27.0,32.0
Sri Lanka,4360.58,4082.69,4013.69,13214.0,45.0,51.0,34.0,44.0
Saint Kitts and Nevis,22547.92,23219.33,18082.61,,,,,
Saint Lucia,11563.84,11726.77,9414.23,,,,,
Saint Martin (French part),,,,,,,,
Saint Vincent and the Grenadines,8399.69,8674.37,8666.39,,,,,
Sudan,769.87,748.01,751.82,4098.0,,,,
Suriname,6730.85,6690.04,4869.13,14513.0,,,,
Sweden,54589.06,51939.43,61028.74,54146.0,41.0,40.0,34.0,42.0
Switzerland,85217.37,84121.93,91991.6,72874.0,45.0,45.0,28.0,37.0
Syrian Arab Republic,1104.39,1116.68,,,,,,
Tajikistan,850.67,889.02,897.05,3676.0,42.0,36.0,45.0,39.0
"Tanzania, United Republic of",1010.94,1052.02,1099.29,2821.0,28.0,,,
Thailand,7124.56,7630.04,7066.19,18236.0,34.0,42.0,46.0,48.0
Timor-Leste,1239.37,1584.26,2741.39,3382.0,,,,
Togo,883.87,875.93,973.21,2199.0,24.0,,,34.0
Tonga,4649.58,4879.02,4426.0,6191.0,,,,
Trinidad and Tobago,16164.16,15690.96,16032.5,25031.0,46.0,,,
Tunisia,3577.12,3477.88,3807.14,10120.0,20.0,24.0,29.0,28.0
Türkiye,9400.78,9103.04,9661.24,30253.0,20.0,,31.0,40.0
Turkmenistan,6721.35,7344.65,,16520.0,40.0,43.0,,
Turks and Caicos Islands,26831.97,27795.15,20908.58,,,,,
Tuvalu,4401.13,4949.17,5632.0,4497.0,,,,
Uganda,793.13,823.14,883.89,2574.0,39.0,38.0,46.0,46.0
Ukraine,3096.56,3661.46,4835.57,13110.0,29.0,24.0,43.0,49.0
United Arab Emirates,46722.27,45376.17,44315.55,58753.0,51.0,45.0,44.0,47.0
United Kingdom of Great Britain and Northern Ireland,43306.31,42747.08,46510.28,44117.0,55.0,54.0,41.0,47.0
United States of America,62823.31,65120.39,70248.63,63416.0,58.0,58.0,,59.0
Uruguay,18825.28,17859.93,17313.19,22459.0,30.0,30.0,32.0,40.0
Uzbekistan,1597.07,1784.01,1983.06,7449.0,36.0,41.0,40.0,38.0
Vanuatu,3076.84,3076.59,2996.62,2586.0,,,,
Venezuela (Bolivarian Republic of),,,,5178.0,26.0,23.0,35.0,45.0
Viet Nam,3267.23,3491.09,3756.49,10869.0,,,,
Virgin Islands (U.S.),36653.86,38596.03,,,,,,
West Bank and Gaza,3562.33,3656.86,3663.97,,,,,
Yemen,701.71,,,1927.0,15.0,17.0,,
Zambia,1475.2,1268.12,1137.34,3342.0,46.0,39.0,43.0,50.0
Zimbabwe,2269.18,1421.87,1773.92,2622.0,30.0,29.0,37.0,31.0
